Date,Region,unemployment rate,labor force participation rate,employment_count,cpi_all_items,cpi_housing,cpi_energy,cpi_medical_care,Year
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Barnstable County",,,83062.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Berkshire County",,,59976.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Bristol County",,,214514.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Dukes County",,,6574.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Essex County",,,310109.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Middlesex County",,,854355.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Nantucket County",,,4808.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Norfolk County",,,335254.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Plymouth County",,,179027.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Suffolk County",,,622556.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Worcester County",,,327663.0,233.707,235.485,192.619,440.969,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Barnstable County",,,81978.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Berkshire County",,,60035.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Bristol County",,,212355.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Dukes County",,,6491.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Essex County",,,309731.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Middlesex County",,,850399.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Nantucket County",,,4629.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Norfolk County",,,329002.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Plymouth County",,,177633.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Suffolk County",,,623874.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Worcester County",,,326386.0,234.722,236.016,196.597,442.783,2015
2015-03-01,"Total Covered Total, all industries for All establishment sizes in Barnstable County",,,83148.0,236.119,236.435,204.731,444.02,2015
2015-03-01,"Total Covered Total, all industries for All establishment sizes in Berkshire County",,,59963.0,236.119,236.435,204.731,444.02,2015
2015-03-01,"Total Covered Total, all industries for All establishment sizes in Bristol County",,,214214.0,236.119,236.435,204.731,444.02,2015
2015-03-01,"Total Covered Total, all industries for All establishment sizes in Dukes County",,,6541.0,236.119,236.435,204.731,444.02,2015
2015-03-01,"Total Covered Total, all industries for All establishment sizes in Essex County",,,312518.0,236.119,236.435,204.731,444.02,2015
2015-03-01,"Total Covered Total, all industries for All establishment sizes in Middlesex County",,,858957.0,236.119,236.435,204.731,444.02,2015
2015-03-01,"Total Covered Total, all industries for All establishment sizes in Nantucket County",,,4800.0,236.119,236.435,204.731,444.02,2015
2015-03-01,"Total Covered Total, all industries for All establishment sizes in Norfolk County",,,333497.0,236.119,236.435,204.731,444.02,2015
2015-03-01,"Total Covered Total, all industries for All establishment sizes in Plymouth County",,,180261.0,236.119,236.435,204.731,444.02,2015
2015-03-01,"Total Covered Total, all industries for All establishment sizes in Suffolk County",,,628240.0,236.119,236.435,204.731,444.02,2015
2015-03-01,"Total Covered Total, all industries for All establishment sizes in Worcester County",,,329321.0,236.119,236.435,204.731,444.02,2015
2015-04-01,"Total Covered Total, all industries for All establishment sizes in Barnstable County",,,89216.0,236.599,236.777,203.715,446.663,2015
2015-04-01,"Total Covered Total, all industries for All establishment sizes in Berkshire County",,,60012.0,236.599,236.777,203.715,446.663,2015
2015-04-01,"Total Covered Total, all industries for All establishment sizes in Bristol County",,,218977.0,236.599,236.777,203.715,446.663,2015
2015-04-01,"Total Covered Total, all industries for All establishment sizes in Dukes County",,,7316.0,236.599,236.777,203.715,446.663,2015
2015-04-01,"Total Covered Total, all industries for All establishment sizes in Essex County",,,316399.0,236.599,236.777,203.715,446.663,2015
2015-04-01,"Total Covered Total, all industries for All establishment sizes in Middlesex County",,,868324.0,236.599,236.777,203.715,446.663,2015
2015-04-01,"Total Covered Total, all industries for All establishment sizes in Nantucket County",,,5789.0,236.599,236.777,203.715,446.663,2015
2015-04-01,"Total Covered Total, all industries for All establishment sizes in Norfolk County",,,339758.0,236.599,236.777,203.715,446.663,2015
2015-04-01,"Total Covered Total, all industries for All establishment sizes in Plymouth County",,,184907.0,236.599,236.777,203.715,446.663,2015
2015-04-01,"Total Covered Total, all industries for All establishment sizes in Suffolk County",,,635600.0,236.599,236.777,203.715,446.663,2015
2015-04-01,"Total Covered Total, all industries for All establishment sizes in Worcester County",,,332942.0,236.599,236.777,203.715,446.663,2015
2015-05-01,"Total Covered Total, all industries for All establishment sizes in Barnstable County",,,96821.0,237.805,237.175,214.33,447.213,2015
