Date,Region,unemployment rate,labor force participation rate,employment_count,cpi_all_items,cpi_housing,cpi_energy,cpi_medical_care,Year
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Barnstable County",5.4,,83062.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Barnstable County",9.6,,83062.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Barnstable County",5.0,,83062.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Barnstable County",5.2,65.7,83062.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Barnstable County",6.8,,83062.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Barnstable County",7.6,,83062.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Barnstable County",6.0,,83062.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Berkshire County",5.4,,59976.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Berkshire County",9.6,,59976.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Berkshire County",5.0,,59976.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Berkshire County",5.2,65.7,59976.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Berkshire County",6.8,,59976.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Berkshire County",7.6,,59976.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Berkshire County",6.0,,59976.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Bristol County",5.4,,214514.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Bristol County",9.6,,214514.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Bristol County",5.0,,214514.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Bristol County",5.2,65.7,214514.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Bristol County",6.8,,214514.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Bristol County",7.6,,214514.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Bristol County",6.0,,214514.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Dukes County",5.4,,6574.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Dukes County",9.6,,6574.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Dukes County",5.0,,6574.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Dukes County",5.2,65.7,6574.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Dukes County",6.8,,6574.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Dukes County",7.6,,6574.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Dukes County",6.0,,6574.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Essex County",5.4,,310109.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Essex County",9.6,,310109.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Essex County",5.0,,310109.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Essex County",5.2,65.7,310109.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Essex County",6.8,,310109.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Essex County",7.6,,310109.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Essex County",6.0,,310109.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Middlesex County",5.4,,854355.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Middlesex County",9.6,,854355.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Middlesex County",5.0,,854355.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Middlesex County",5.2,65.7,854355.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Middlesex County",6.8,,854355.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Middlesex County",7.6,,854355.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Middlesex County",6.0,,854355.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Nantucket County",5.4,,4808.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Nantucket County",9.6,,4808.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Nantucket County",5.0,,4808.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Nantucket County",5.2,65.7,4808.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Nantucket County",6.8,,4808.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Nantucket County",7.6,,4808.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Nantucket County",6.0,,4808.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Norfolk County",5.4,,335254.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Norfolk County",9.6,,335254.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Norfolk County",5.0,,335254.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Norfolk County",5.2,65.7,335254.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Norfolk County",6.8,,335254.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Norfolk County",7.6,,335254.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Norfolk County",6.0,,335254.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Plymouth County",5.4,,179027.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Plymouth County",9.6,,179027.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Plymouth County",5.0,,179027.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Plymouth County",5.2,65.7,179027.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Plymouth County",6.8,,179027.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Plymouth County",7.6,,179027.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Plymouth County",6.0,,179027.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Suffolk County",5.4,,622556.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Suffolk County",9.6,,622556.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Suffolk County",5.0,,622556.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Suffolk County",5.2,65.7,622556.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Suffolk County",6.8,,622556.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Suffolk County",7.6,,622556.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Suffolk County",6.0,,622556.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Worcester County",5.4,,327663.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Worcester County",9.6,,327663.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Worcester County",5.0,,327663.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Worcester County",5.2,65.7,327663.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Worcester County",6.8,,327663.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Worcester County",7.6,,327663.0,233.707,235.485,192.619,440.969,2015
2015-01-01,"Total Covered Total, all industries for All establishment sizes in Worcester County",6.0,,327663.0,233.707,235.485,192.619,440.969,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Barnstable County",4.9,,81978.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Barnstable County",9.5,,81978.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Barnstable County",4.8,,81978.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Barnstable County",5.1,65.6,81978.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Barnstable County",6.5,,81978.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Barnstable County",7.2,,81978.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Barnstable County",5.8,,81978.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Berkshire County",4.9,,60035.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Berkshire County",9.5,,60035.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Berkshire County",4.8,,60035.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Berkshire County",5.1,65.6,60035.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Berkshire County",6.5,,60035.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Berkshire County",7.2,,60035.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Berkshire County",5.8,,60035.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Bristol County",4.9,,212355.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Bristol County",9.5,,212355.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Bristol County",4.8,,212355.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Bristol County",5.1,65.6,212355.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Bristol County",6.5,,212355.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Bristol County",7.2,,212355.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Bristol County",5.8,,212355.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Dukes County",4.9,,6491.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Dukes County",9.5,,6491.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Dukes County",4.8,,6491.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Dukes County",5.1,65.6,6491.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Dukes County",6.5,,6491.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Dukes County",7.2,,6491.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Dukes County",5.8,,6491.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Essex County",4.9,,309731.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Essex County",9.5,,309731.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Essex County",4.8,,309731.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Essex County",5.1,65.6,309731.0,234.722,236.016,196.597,442.783,2015
2015-02-01,"Total Covered Total, all industries for All establishment sizes in Essex County",6.5,,309731.0,234.722,236.016,196.597,442.783,2015
